11 [DBG_PIN] t=245827 sig=HP_OUT state=ACTIVE reason=assertHpOut camState=0 hpOutAsserted=1
42 [DBG_HP_SAMPLE] t=245857 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9970
204 [DBG_HP_SAMPLE] t=245998 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9829
283 [DBG_HP_SAMPLE] t=246098 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=9729
414 [DBG_HP_SAMPLE] t=246208 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=9619
493 [DBG_HP_SAMPLE] t=246308 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=9519
511 [DBG_PIN] t=246327 sig=FP_OUT state=ACTIVE reason=burstFrameFire camState=3 hpOutAsserted=1
592 [DBG_HP_SAMPLE] t=246408 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=9419
612 [DBG_PIN] t=246427 sig=FP_OUT state=INACTIVE reason=burstPulseComplete durMs=100 camState=3 hpOutAsserted=1
693 [DBG_HP_SAMPLE] t=246508 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=9319
793 [DBG_HP_SAMPLE] t=246608 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=9219
893 [DBG_HP_SAMPLE] t=246708 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=9119
993 [DBG_HP_SAMPLE] t=246808 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=9019
1093 [DBG_HP_SAMPLE] t=246908 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=8919
1193 [DBG_HP_SAMPLE] t=247008 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=8819
1293 [DBG_HP_SAMPLE] t=247108 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=8719
1392 [DBG_HP_SAMPLE] t=247208 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=8619
1493 [DBG_HP_SAMPLE] t=247308 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=8519
1511 [DBG_PIN] t=247327 sig=FP_OUT state=ACTIVE reason=burstFrameFire camState=3 hpOutAsserted=1
1593 [DBG_HP_SAMPLE] t=247408 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=8419
1612 [DBG_PIN] t=247427 sig=FP_OUT state=INACTIVE reason=burstPulseComplete durMs=100 camState=3 hpOutAsserted=1
1693 [DBG_HP_SAMPLE] t=247508 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=8319
1793 [DBG_HP_SAMPLE] t=247608 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=8219
1892 [DBG_HP_SAMPLE] t=247708 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=8119
1993 [DBG_HP_SAMPLE] t=247808 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=8019
2093 [DBG_HP_SAMPLE] t=247908 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=7919
2193 [DBG_HP_SAMPLE] t=248008 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=7819
2293 [DBG_HP_SAMPLE] t=248108 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=7719
2392 [DBG_HP_SAMPLE] t=248208 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=7619
2493 [DBG_HP_SAMPLE] t=248308 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=7519
2511 [DBG_PIN] t=248327 sig=FP_OUT state=ACTIVE reason=burstFrameFire camState=3 hpOutAsserted=1
2593 [DBG_HP_SAMPLE] t=248408 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=7419
2612 [DBG_PIN] t=248427 sig=FP_OUT state=INACTIVE reason=burstPulseComplete durMs=100 camState=3 hpOutAsserted=1
2693 [DBG_HP_SAMPLE] t=248508 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=7319
2793 [DBG_HP_SAMPLE] t=248608 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=7219
2892 [DBG_HP_SAMPLE] t=248708 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=7119
2993 [DBG_HP_SAMPLE] t=248808 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=7019
3093 [DBG_HP_SAMPLE] t=248908 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=6919
3193 [DBG_HP_SAMPLE] t=249008 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=6819
3293 [DBG_HP_SAMPLE] t=249108 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=6719
3392 [DBG_HP_SAMPLE] t=249208 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=6619
3493 [DBG_HP_SAMPLE] t=249308 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=6519
3511 [DBG_PIN] t=249327 sig=FP_OUT state=ACTIVE reason=burstFrameFire camState=3 hpOutAsserted=1
3593 [DBG_HP_SAMPLE] t=249408 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=6419
3612 [DBG_PIN] t=249427 sig=FP_OUT state=INACTIVE reason=burstPulseComplete durMs=100 camState=3 hpOutAsserted=1
3693 [DBG_HP_SAMPLE] t=249508 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=6319
3793 [DBG_HP_SAMPLE] t=249608 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=6219
3892 [DBG_HP_SAMPLE] t=249708 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=6119
3993 [DBG_HP_SAMPLE] t=249808 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=6019
4093 [DBG_HP_SAMPLE] t=249908 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5919
4193 [DBG_HP_SAMPLE] t=250008 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5819
4293 [DBG_HP_SAMPLE] t=250108 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5719
4392 [DBG_HP_SAMPLE] t=250208 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5619
4493 [DBG_HP_SAMPLE] t=250308 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5519
4593 [DBG_HP_SAMPLE] t=250408 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5419
4693 [DBG_HP_SAMPLE] t=250508 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5319
4793 [DBG_HP_SAMPLE] t=250608 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5219
4892 [DBG_HP_SAMPLE] t=250708 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5119
4993 [DBG_HP_SAMPLE] t=250808 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5019
5093 [DBG_HP_SAMPLE] t=250908 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4919
5193 [DBG_HP_SAMPLE] t=251008 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4819
5293 [DBG_HP_SAMPLE] t=251108 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4719
5392 [DBG_HP_SAMPLE] t=251208 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4619
5493 [DBG_HP_SAMPLE] t=251308 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4519
5592 [DBG_HP_SAMPLE] t=251408 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4419
5693 [DBG_HP_SAMPLE] t=251508 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=4319
5793 [DBG_HP_SAMPLE] t=251608 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=4219
5892 [DBG_HP_SAMPLE] t=251708 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=4119
5993 [DBG_HP_SAMPLE] t=251808 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=4019
6092 [DBG_HP_SAMPLE] t=251908 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3919
6193 [DBG_HP_SAMPLE] t=252008 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3819
