13 [DBG_PIN] t=941742 sig=HP_OUT state=ACTIVE reason=assertHpOut camState=0 hpOutAsserted=1
42 [DBG_HP_SAMPLE] t=941770 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9972
175 [DBG_HP_SAMPLE] t=941880 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9862
252 [DBG_HP_SAMPLE] t=941980 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9762
384 [DBG_HP_SAMPLE] t=942090 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9652
462 [DBG_HP_SAMPLE] t=942190 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9552
594 [DBG_HP_SAMPLE] t=942301 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9441
672 [DBG_HP_SAMPLE] t=942401 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9341
773 [DBG_HP_SAMPLE] t=942501 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9241
872 [DBG_HP_SAMPLE] t=942601 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9141
972 [DBG_HP_SAMPLE] t=942701 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9041
1014 [DBG_PIN] t=942743 sig=FP_OUT state=ACTIVE reason=burstFrameFire camState=3 hpOutAsserted=1
1073 [DBG_HP_SAMPLE] t=942801 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=8941
1115 [DBG_PIN] t=942843 sig=FP_OUT state=INACTIVE reason=burstPulseComplete durMs=100 camState=3 hpOutAsserted=1
1172 [DBG_HP_SAMPLE] t=942901 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=8841
