9 [DBG_PIN] t=1116853 sig=HP_OUT state=ACTIVE reason=assertHpOut camState=0 hpOutAsserted=1
43 [DBG_HP_SAMPLE] t=1116886 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9967
174 [DBG_HP_SAMPLE] t=1116996 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9857
253 [DBG_HP_SAMPLE] t=1117096 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9757
384 [DBG_HP_SAMPLE] t=1117206 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9647
463 [DBG_HP_SAMPLE] t=1117306 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9547
594 [DBG_HP_SAMPLE] t=1117416 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9437
673 [DBG_HP_SAMPLE] t=1117516 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9337
773 [DBG_HP_SAMPLE] t=1117616 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9237
873 [DBG_HP_SAMPLE] t=1117716 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9137
973 [DBG_HP_SAMPLE] t=1117816 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9037
1010 [DBG_PIN] t=1117853 sig=FP_OUT state=ACTIVE reason=burstFrameFire camState=3 hpOutAsserted=1
1072 [DBG_HP_SAMPLE] t=1117916 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=8937
1109 [DBG_PIN] t=1117953 sig=FP_OUT state=INACTIVE reason=burstPulseComplete durMs=100 camState=3 hpOutAsserted=1
1173 [DBG_HP_SAMPLE] t=1118016 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=8837
1273 [DBG_HP_SAMPLE] t=1118116 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=8737
1373 [DBG_HP_SAMPLE] t=1118216 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=8637
1473 [DBG_HP_SAMPLE] t=1118316 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=8537
1572 [DBG_HP_SAMPLE] t=1118416 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=8437
1673 [DBG_HP_SAMPLE] t=1118516 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=8337
1773 [DBG_HP_SAMPLE] t=1118616 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=8237
1873 [DBG_HP_SAMPLE] t=1118716 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=8137
1973 [DBG_HP_SAMPLE] t=1118816 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=8037
2010 [DBG_PIN] t=1118853 sig=FP_OUT state=ACTIVE reason=burstFrameFire camState=3 hpOutAsserted=1
2072 [DBG_HP_SAMPLE] t=1118916 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=7937
