9 [DBG_PIN] t=1141722 sig=HP_OUT state=ACTIVE reason=assertHpOut camState=0 hpOutAsserted=1
43 [DBG_HP_SAMPLE] t=1141756 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9966
175 [DBG_HP_SAMPLE] t=1141866 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9856
253 [DBG_HP_SAMPLE] t=1141966 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9756
384 [DBG_HP_SAMPLE] t=1142076 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9646
463 [DBG_HP_SAMPLE] t=1142176 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9546
594 [DBG_HP_SAMPLE] t=1142286 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9436
673 [DBG_HP_SAMPLE] t=1142386 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9336
772 [DBG_HP_SAMPLE] t=1142486 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9236
873 [DBG_HP_SAMPLE] t=1142586 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9136
973 [DBG_HP_SAMPLE] t=1142686 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=9036
1010 [DBG_PIN] t=1142723 sig=FP_OUT state=ACTIVE reason=burstFrameFire camState=3 hpOutAsserted=1
1072 [DBG_HP_SAMPLE] t=1142786 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=8936
1109 [DBG_PIN] t=1142823 sig=FP_OUT state=INACTIVE reason=burstPulseComplete durMs=100 camState=3 hpOutAsserted=1
1173 [DBG_HP_SAMPLE] t=1142886 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=8836
1272 [DBG_HP_SAMPLE] t=1142986 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=8736
