case_id,scenario,status,skipped,skip_reason,passed,failure_class,timing_passed,timing_total,functional_passed,functional_total,run_dir
SC-01-NOMINAL,SC-01,passed,False,,True,pass,6,6,5,5,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172101_SC-01-NOMINAL
SC-02-FP-DURING-SEQUENCE,SC-02,passed,False,,True,pass,2,2,5,5,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172120_SC-02-FP-DURING-SEQUENCE
SC-03-FP-FLOOD,SC-03,passed,False,,True,pass,2,2,5,5,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172135_SC-03-FP-FLOOD
SC-04-WAKE-TIMEOUT,SC-04,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172153_SC-04-WAKE-TIMEOUT
SC-04B-REPEATED-HP,SC-04b,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172211_SC-04B-REPEATED-HP
SC-05-BACK-TO-BACK,SC-05,passed,False,,True,pass,5,5,5,5,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172236_SC-05-BACK-TO-BACK
SC-05B-FP-DURING-POST-HOLD,SC-05b,passed,False,,True,pass,5,5,5,5,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172259_SC-05B-FP-DURING-POST-HOLD
SC-06-COLD-FP,SC-06,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172320_SC-06-COLD-FP
SC-07-HP-DURING-BURST,SC-07,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172336_SC-07-HP-DURING-BURST
SC-07B-HP-DURING-POST-HOLD,SC-07b,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172353_SC-07B-HP-DURING-POST-HOLD
SC-08-FP-BEFORE-HP,SC-08,passed,False,,True,pass,3,3,3,3,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172413_SC-08-FP-BEFORE-HP
SC-09-SEQUENCE-CAP,SC-09,passed,False,,True,pass,2,2,4,4,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172429_SC-09-SEQUENCE-CAP
SC-10-RECOVERY-AFTER-CAP,SC-10,passed,False,,True,pass,3,3,5,5,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172448_SC-10-RECOVERY-AFTER-CAP
SC-11-SPACING-VS-T,SC-11,passed,False,,True,pass,3,3,2,2,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172515_SC-11-SPACING-VS-T
SC-12-HP-ONLY-MIN-GAP,SC-12,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172532_SC-12-HP-ONLY-MIN-GAP
SC-13-BOUNCE-DEBOUNCE,SC-13,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172551_SC-13-BOUNCE-DEBOUNCE
SC-14-HELD-VS-PULSED-FP,SC-14,passed,False,,True,pass,3,3,2,2,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172605_SC-14-HELD-VS-PULSED-FP
SC-15-POWER-SAVE-BUDGET,SC-15,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172623_SC-15-POWER-SAVE-BUDGET
SC-16-HP-RELEASE-AFTER-FP,SC-16,passed,False,,True,pass,6,6,2,2,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172636_SC-16-HP-RELEASE-AFTER-FP
SC-17-SHORT-HP-LEAD,SC-17,passed,False,,True,pass,3,3,2,2,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172655_SC-17-SHORT-HP-LEAD
SC-18-HP-CHATTER-BURST,SC-18,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172711_SC-18-HP-CHATTER-BURST
SC-19-NEW-EVENT-AFTER-RELEASE,SC-19,passed,False,,True,pass,4,4,5,5,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172728_SC-19-NEW-EVENT-AFTER-RELEASE
SC-20-T-GREATER-THAN-Y,SC-20,passed,False,,True,pass,3,3,2,2,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172751_SC-20-T-GREATER-THAN-Y
AO-BLE-CONNECTED-SC04,ADDON-BLE-CONNECTED,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172807_AO-BLE-CONNECTED-SC04
AO-BLE-CONNECTED-SC01,ADDON-BLE-CONNECTED,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172826_AO-BLE-CONNECTED-SC01
AO-LATENCY-HP-IN-TO-HP-OUT,ADDON-LATENCY,passed,False,,True,pass,2,2,1,1,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172842_AO-LATENCY-HP-IN-TO-HP-OUT
AO-LATENCY-FP-IN-TO-FP-OUT,ADDON-LATENCY,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172850_AO-LATENCY-FP-IN-TO-FP-OUT
AO-GAP-BOUNDARY-TRIAD,ADDON-GAP-BOUNDARY,passed,False,,True,pass,3,3,7,7,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172900_AO-GAP-BOUNDARY-TRIAD
AO-GAP-CADENCE,ADDON-GAP-CADENCE,passed,False,,True,pass,3,3,7,7,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172924_AO-GAP-CADENCE
AO-DEFERRED-CONFIG-WRITES,ADDON-DEFERRED-CONFIG,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_172946_AO-DEFERRED-CONFIG-WRITES
AO-FACTORY-RESET-AND-COERCION,ADDON-FACTORY-RESET,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\full_run_ble_20260521_1719\20260521_173002_AO-FACTORY-RESET-AND-COERCION
