case_id,scenario,status,skipped,skip_reason,passed,failure_class,timing_passed,timing_total,functional_passed,functional_total,run_dir
SC-01-NOMINAL,SC-01,passed,False,,True,pass,6,6,2,2,TickleBoard\artifacts\full_run_no_ble_20260521_1731\20260521_173026_SC-01-NOMINAL
SC-02-FP-DURING-SEQUENCE,SC-02,passed,False,,True,pass,2,2,1,1,TickleBoard\artifacts\full_run_no_ble_20260521_1731\20260521_173040_SC-02-FP-DURING-SEQUENCE
SC-03-FP-FLOOD,SC-03,passed,False,,True,pass,2,2,1,1,TickleBoard\artifacts\full_run_no_ble_20260521_1731\20260521_173051_SC-03-FP-FLOOD
SC-04-WAKE-TIMEOUT,SC-04,passed,False,,True,pass,2,2,1,1,TickleBoard\artifacts\full_run_no_ble_20260521_1731\20260521_173103_SC-04-WAKE-TIMEOUT
SC-04B-REPEATED-HP,SC-04b,passed,False,,True,pass,2,2,1,1,TickleBoard\artifacts\full_run_no_ble_20260521_1731\20260521_173116_SC-04B-REPEATED-HP
SC-05-BACK-TO-BACK,SC-05,passed,False,,True,pass,5,5,2,2,TickleBoard\artifacts\full_run_no_ble_20260521_1731\20260521_173136_SC-05-BACK-TO-BACK
SC-05B-FP-DURING-POST-HOLD,SC-05b,passed,False,,True,pass,5,5,2,2,TickleBoard\artifacts\full_run_no_ble_20260521_1731\20260521_173154_SC-05B-FP-DURING-POST-HOLD
SC-06-COLD-FP,SC-06,passed,False,,True,pass,2,2,1,1,TickleBoard\artifacts\full_run_no_ble_20260521_1731\20260521_173210_SC-06-COLD-FP
SC-07-HP-DURING-BURST,SC-07,passed,False,,True,pass,2,2,1,1,TickleBoard\artifacts\full_run_no_ble_20260521_1731\20260521_173221_SC-07-HP-DURING-BURST
SC-07B-HP-DURING-POST-HOLD,SC-07b,passed,False,,True,pass,2,2,1,1,TickleBoard\artifacts\full_run_no_ble_20260521_1731\20260521_173233_SC-07B-HP-DURING-POST-HOLD
SC-08-FP-BEFORE-HP,SC-08,passed,False,,True,pass,3,3,1,1,TickleBoard\artifacts\full_run_no_ble_20260521_1731\20260521_173248_SC-08-FP-BEFORE-HP
SC-09-SEQUENCE-CAP,SC-09,skipped,True,"requires non-default camera params: FrameCount=2 (factory=4), MaxSequenceCount=1 (factory=4)",True,skipped,0,0,0,0,
SC-10-RECOVERY-AFTER-CAP,SC-10,skipped,True,"requires non-default camera params: FrameCount=2 (factory=4), MaxSequenceCount=1 (factory=4)",True,skipped,0,0,0,0,
SC-11-SPACING-VS-T,SC-11,failed,False,,False,timing_tolerance,1,3,0,1,TickleBoard\artifacts\full_run_no_ble_20260521_1731\20260521_173259_SC-11-SPACING-VS-T
SC-12-HP-ONLY-MIN-GAP,SC-12,passed,False,,True,pass,2,2,1,1,TickleBoard\artifacts\full_run_no_ble_20260521_1731\20260521_173311_SC-12-HP-ONLY-MIN-GAP
SC-13-BOUNCE-DEBOUNCE,SC-13,passed,False,,True,pass,2,2,1,1,TickleBoard\artifacts\full_run_no_ble_20260521_1731\20260521_173325_SC-13-BOUNCE-DEBOUNCE
SC-14-HELD-VS-PULSED-FP,SC-14,passed,False,,True,pass,3,3,1,1,TickleBoard\artifacts\full_run_no_ble_20260521_1731\20260521_173334_SC-14-HELD-VS-PULSED-FP
SC-15-POWER-SAVE-BUDGET,SC-15,passed,False,,True,pass,2,2,1,1,TickleBoard\artifacts\full_run_no_ble_20260521_1731\20260521_173346_SC-15-POWER-SAVE-BUDGET
SC-16-HP-RELEASE-AFTER-FP,SC-16,failed,False,,False,timing_tolerance,4,6,1,1,TickleBoard\artifacts\full_run_no_ble_20260521_1731\20260521_173355_SC-16-HP-RELEASE-AFTER-FP
SC-17-SHORT-HP-LEAD,SC-17,skipped,True,requires non-default camera params: minHalfPressBeforeShutter=2.0s (factory=0.5s),True,skipped,0,0,0,0,
SC-18-HP-CHATTER-BURST,SC-18,passed,False,,True,pass,2,2,1,1,TickleBoard\artifacts\full_run_no_ble_20260521_1731\20260521_173409_SC-18-HP-CHATTER-BURST
SC-19-NEW-EVENT-AFTER-RELEASE,SC-19,passed,False,,True,pass,4,4,2,2,TickleBoard\artifacts\full_run_no_ble_20260521_1731\20260521_173421_SC-19-NEW-EVENT-AFTER-RELEASE
SC-20-T-GREATER-THAN-Y,SC-20,skipped,True,"requires non-default camera params: minHalfPressBeforeShutter=2.0s (factory=0.5s), StartFrameSpacingMin=0.2s (factory=1.0s)",True,skipped,0,0,0,0,
AO-BLE-CONNECTED-SC04,ADDON-BLE-CONNECTED,skipped,True,ble-connected scenario,True,skipped,0,0,0,0,
AO-BLE-CONNECTED-SC01,ADDON-BLE-CONNECTED,skipped,True,ble-connected scenario,True,skipped,0,0,0,0,
AO-LATENCY-HP-IN-TO-HP-OUT,ADDON-LATENCY,skipped,True,"requires non-default camera params: FrameCount=1 (factory=4), wakeHalfPressHoldTime=3s (factory=10s)",True,skipped,0,0,0,0,
AO-LATENCY-FP-IN-TO-FP-OUT,ADDON-LATENCY,skipped,True,"requires non-default camera params: FrameCount=1 (factory=4), minHalfPressBeforeShutter=0.2s (factory=0.5s)",True,skipped,0,0,0,0,
AO-GAP-BOUNDARY-TRIAD,ADDON-GAP-BOUNDARY,skipped,True,requires non-default camera params: FrameCount=2 (factory=4),True,skipped,0,0,0,0,
AO-GAP-CADENCE,ADDON-GAP-CADENCE,passed,False,,True,pass,3,3,1,1,TickleBoard\artifacts\full_run_no_ble_20260521_1731\20260521_173439_AO-GAP-CADENCE
AO-DEFERRED-CONFIG-WRITES,ADDON-DEFERRED-CONFIG,passed,False,,True,pass,2,2,1,1,TickleBoard\artifacts\full_run_no_ble_20260521_1731\20260521_173456_AO-DEFERRED-CONFIG-WRITES
AO-FACTORY-RESET-AND-COERCION,ADDON-FACTORY-RESET,skipped,True,"requires non-default camera params: inputActivePolarity=1 (factory=0), outputDriveMode=1 (factory=0), activityHalfPressHoldPolicy=1 (factory=0)",True,skipped,0,0,0,0,
