case_id,scenario,status,skipped,skip_reason,passed,failure_class,timing_passed,timing_total,functional_passed,functional_total,run_dir
SC-01-NOMINAL,SC-01,passed,False,,True,pass,6,6,7,7,TickleBoard\artifacts\20260806_180449_SC-01-NOMINAL
SC-02-FP-DURING-SEQUENCE,SC-02,passed,False,,True,pass,2,2,5,5,TickleBoard\artifacts\20260806_180511_SC-02-FP-DURING-SEQUENCE
SC-03-FP-FLOOD,SC-03,passed,False,,True,pass,2,2,5,5,TickleBoard\artifacts\20260806_180531_SC-03-FP-FLOOD
SC-04-WAKE-TIMEOUT,SC-04,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\20260806_180553_SC-04-WAKE-TIMEOUT
SC-04B-REPEATED-HP,SC-04b,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\20260806_180615_SC-04B-REPEATED-HP
SC-05-BACK-TO-BACK,SC-05,passed,False,,True,pass,5,5,7,7,TickleBoard\artifacts\20260806_180643_SC-05-BACK-TO-BACK
SC-05B-FP-DURING-POST-HOLD,SC-05b,passed,False,,True,pass,5,5,7,7,TickleBoard\artifacts\20260806_180709_SC-05B-FP-DURING-POST-HOLD
SC-06-COLD-FP,SC-06,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\20260806_180734_SC-06-COLD-FP
SC-07-HP-DURING-BURST,SC-07,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\20260806_180755_SC-07-HP-DURING-BURST
SC-07B-HP-DURING-POST-HOLD,SC-07b,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\20260806_180816_SC-07B-HP-DURING-POST-HOLD
SC-08-FP-BEFORE-HP,SC-08,passed,False,,True,pass,3,3,3,3,TickleBoard\artifacts\20260806_180840_SC-08-FP-BEFORE-HP
SC-09-SEQUENCE-CAP,SC-09,passed,False,,True,pass,2,2,4,4,TickleBoard\artifacts\20260806_180901_SC-09-SEQUENCE-CAP
SC-10-RECOVERY-AFTER-CAP,SC-10,passed,False,,True,pass,3,3,7,7,TickleBoard\artifacts\20260806_180928_SC-10-RECOVERY-AFTER-CAP
SC-11-SPACING-VS-T,SC-11,passed,False,,True,pass,3,3,2,2,TickleBoard\artifacts\20260806_180958_SC-11-SPACING-VS-T
SC-12-HP-ONLY-MIN-GAP,SC-12,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\20260806_181019_SC-12-HP-ONLY-MIN-GAP
SC-13-BOUNCE-DEBOUNCE,SC-13,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\20260806_181042_SC-13-BOUNCE-DEBOUNCE
SC-14-HELD-VS-PULSED-FP,SC-14,passed,False,,True,pass,3,3,2,2,TickleBoard\artifacts\20260806_181103_SC-14-HELD-VS-PULSED-FP
SC-15-POWER-SAVE-BUDGET,SC-15,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\20260806_181124_SC-15-POWER-SAVE-BUDGET
SC-16-HP-RELEASE-AFTER-FP,SC-16,passed,False,,True,pass,6,6,2,2,TickleBoard\artifacts\20260806_181145_SC-16-HP-RELEASE-AFTER-FP
SC-17-SHORT-HP-LEAD,SC-17,passed,False,,True,pass,3,3,2,2,TickleBoard\artifacts\20260806_181207_SC-17-SHORT-HP-LEAD
SC-18-HP-CHATTER-BURST,SC-18,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\20260806_181228_SC-18-HP-CHATTER-BURST
SC-19-NEW-EVENT-AFTER-RELEASE,SC-19,passed,False,,True,pass,4,4,7,7,TickleBoard\artifacts\20260806_181250_SC-19-NEW-EVENT-AFTER-RELEASE
SC-20-T-GREATER-THAN-Y,SC-20,passed,False,,True,pass,3,3,2,2,TickleBoard\artifacts\20260806_181322_SC-20-T-GREATER-THAN-Y
AO-TELEMETRY-FIELD-COVERAGE,ADDON-TELEMETRY,passed,False,,True,pass,2,2,32,32,TickleBoard\artifacts\20260806_181343_AO-TELEMETRY-FIELD-COVERAGE
AO-BLE-CONNECTED-SC04,ADDON-BLE-CONNECTED,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\20260806_181404_AO-BLE-CONNECTED-SC04
AO-BLE-CONNECTED-SC01,ADDON-BLE-CONNECTED,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\20260806_181426_AO-BLE-CONNECTED-SC01
AO-LATENCY-HP-IN-TO-HP-OUT,ADDON-LATENCY,passed,False,,True,pass,2,2,1,1,TickleBoard\artifacts\20260806_181447_AO-LATENCY-HP-IN-TO-HP-OUT
AO-LATENCY-FP-IN-TO-FP-OUT,ADDON-LATENCY,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\20260806_181502_AO-LATENCY-FP-IN-TO-FP-OUT
AO-GAP-BOUNDARY-TRIAD,ADDON-GAP-BOUNDARY,passed,False,,True,pass,3,3,7,7,TickleBoard\artifacts\20260806_181523_AO-GAP-BOUNDARY-TRIAD
AO-GAP-CADENCE,ADDON-GAP-CADENCE,passed,False,,True,pass,3,3,7,7,TickleBoard\artifacts\20260806_181548_AO-GAP-CADENCE
AO-MAX-SEQUENCE-RANGE-64,ADDON-MAX-SEQUENCE-RANGE,passed,False,,True,pass,2,2,7,7,TickleBoard\artifacts\20260806_181613_AO-MAX-SEQUENCE-RANGE-64
AO-DEFERRED-CONFIG-WRITES,ADDON-DEFERRED-CONFIG,passed,False,,True,pass,2,2,3,3,TickleBoard\artifacts\20260806_181636_AO-DEFERRED-CONFIG-WRITES
AO-FACTORY-RESET-AND-COERCION,ADDON-FACTORY-RESET,passed,False,,True,pass,2,2,2,2,TickleBoard\artifacts\20260806_181712_AO-FACTORY-RESET-AND-COERCION
AO-BOUNDS-COERCE-MIN,ADDON-BOUNDS-COERCE,passed,False,,True,pass,3,3,4,4,TickleBoard\artifacts\20260806_181737_AO-BOUNDS-COERCE-MIN
AO-BOUNDS-COERCE-MAX,ADDON-BOUNDS-COERCE,passed,False,,True,pass,1,1,3,3,TickleBoard\artifacts\20260806_181758_AO-BOUNDS-COERCE-MAX
AO-CAMCFG-NACK-BAD-VERSION,ADDON-CAMCFG-PROTOCOL,passed,False,,True,pass,0,0,1,1,TickleBoard\artifacts\20260806_181828_AO-CAMCFG-NACK-BAD-VERSION
AO-CAMCFG-NACK-BAD-LENGTH,ADDON-CAMCFG-PROTOCOL,passed,False,,True,pass,0,0,1,1,TickleBoard\artifacts\20260806_181846_AO-CAMCFG-NACK-BAD-LENGTH
AO-CAMCFG-NACK-OUT-OF-RANGE,ADDON-CAMCFG-PROTOCOL,passed,False,,True,pass,0,0,1,1,TickleBoard\artifacts\20260806_181857_AO-CAMCFG-NACK-OUT-OF-RANGE
AO-HPRELAX-SIMULTANEOUS-INTENT,ADDON-HP-RELAX,passed,False,,True,pass,5,5,7,7,TickleBoard\artifacts\20260806_181911_AO-HPRELAX-SIMULTANEOUS-INTENT
AO-HPRELAX-ALLOWED-Z0,ADDON-HP-RELAX,passed,False,,True,pass,4,4,7,7,TickleBoard\artifacts\20260806_181934_AO-HPRELAX-ALLOWED-Z0
AO-HPRELAX-BLOCKED-Z500-T700,ADDON-HP-RELAX,passed,False,,True,pass,4,4,7,7,TickleBoard\artifacts\20260806_181956_AO-HPRELAX-BLOCKED-Z500-T700
AO-HPRELAX-BOUNDARY-Z300-T700,ADDON-HP-RELAX,passed,False,,True,pass,4,4,7,7,TickleBoard\artifacts\20260806_182018_AO-HPRELAX-BOUNDARY-Z300-T700
SC-01-HPRELAX,SC-01,passed,False,,True,pass,4,4,7,7,TickleBoard\artifacts\20260806_182041_SC-01-HPRELAX
