case_id,scenario,passed,failure_class,timing_passed,timing_total,functional_passed,functional_total,run_dir
SC-01-NOMINAL,SC-01,True,pass,6,6,5,5,TickleBoard\artifacts\20260521_142236_SC-01-NOMINAL
SC-02-FP-DURING-SEQUENCE,SC-02,True,pass,2,2,5,5,TickleBoard\artifacts\20260521_142301_SC-02-FP-DURING-SEQUENCE
SC-03-FP-FLOOD,SC-03,True,pass,2,2,5,5,TickleBoard\artifacts\20260521_142324_SC-03-FP-FLOOD
SC-04-WAKE-TIMEOUT,SC-04,True,pass,2,2,3,3,TickleBoard\artifacts\20260521_142347_SC-04-WAKE-TIMEOUT
SC-04B-REPEATED-HP,SC-04b,True,pass,2,2,3,3,TickleBoard\artifacts\20260521_142412_SC-04B-REPEATED-HP
SC-05-BACK-TO-BACK,SC-05,True,pass,5,5,5,5,TickleBoard\artifacts\20260521_142443_SC-05-BACK-TO-BACK
SC-05B-FP-DURING-POST-HOLD,SC-05b,False,timing_tolerance,4,5,4,5,TickleBoard\artifacts\20260521_142513_SC-05B-FP-DURING-POST-HOLD
SC-06-COLD-FP,SC-06,True,pass,2,2,3,3,TickleBoard\artifacts\20260521_142540_SC-06-COLD-FP
SC-07-HP-DURING-BURST,SC-07,True,pass,2,2,3,3,TickleBoard\artifacts\20260521_142602_SC-07-HP-DURING-BURST
SC-07B-HP-DURING-POST-HOLD,SC-07b,True,pass,2,2,3,3,TickleBoard\artifacts\20260521_142625_SC-07B-HP-DURING-POST-HOLD
SC-08-FP-BEFORE-HP,SC-08,True,pass,3,3,3,3,TickleBoard\artifacts\20260521_142652_SC-08-FP-BEFORE-HP
SC-09-SEQUENCE-CAP,SC-09,True,pass,2,2,4,4,TickleBoard\artifacts\20260521_142714_SC-09-SEQUENCE-CAP
SC-10-RECOVERY-AFTER-CAP,SC-10,False,timing_tolerance,2,3,5,5,TickleBoard\artifacts\20260521_142739_SC-10-RECOVERY-AFTER-CAP
SC-11-SPACING-VS-T,SC-11,True,pass,3,3,2,2,TickleBoard\artifacts\20260521_142812_SC-11-SPACING-VS-T
SC-12-HP-ONLY-MIN-GAP,SC-12,True,pass,2,2,3,3,TickleBoard\artifacts\20260521_142837_SC-12-HP-ONLY-MIN-GAP
SC-13-BOUNCE-DEBOUNCE,SC-13,False,logic_mismatch,2,2,3,4,TickleBoard\artifacts\20260521_142902_SC-13-BOUNCE-DEBOUNCE
SC-14-HELD-VS-PULSED-FP,SC-14,True,pass,3,3,2,2,TickleBoard\artifacts\20260521_142922_SC-14-HELD-VS-PULSED-FP
SC-15-POWER-SAVE-BUDGET,SC-15,True,pass,2,2,3,3,TickleBoard\artifacts\20260521_142940_SC-15-POWER-SAVE-BUDGET
SC-16-HP-RELEASE-AFTER-FP,SC-16,False,timing_tolerance,5,6,2,2,TickleBoard\artifacts\20260521_143000_SC-16-HP-RELEASE-AFTER-FP
SC-17-SHORT-HP-LEAD,SC-17,True,pass,3,3,2,2,TickleBoard\artifacts\20260521_143019_SC-17-SHORT-HP-LEAD
SC-18-HP-CHATTER-BURST,SC-18,True,pass,2,2,3,3,TickleBoard\artifacts\20260521_143041_SC-18-HP-CHATTER-BURST
SC-19-NEW-EVENT-AFTER-RELEASE,SC-19,False,timing_tolerance,3,4,5,5,TickleBoard\artifacts\20260521_143105_SC-19-NEW-EVENT-AFTER-RELEASE
SC-20-T-GREATER-THAN-Y,SC-20,True,pass,3,3,2,2,TickleBoard\artifacts\20260521_143134_SC-20-T-GREATER-THAN-Y
AO-BLE-CONNECTED-SC04,ADDON-BLE-CONNECTED,True,pass,2,2,3,3,TickleBoard\artifacts\20260521_143150_AO-BLE-CONNECTED-SC04
AO-BLE-CONNECTED-SC01,ADDON-BLE-CONNECTED,False,timing_tolerance,1,2,3,3,TickleBoard\artifacts\20260521_143215_AO-BLE-CONNECTED-SC01
AO-GAP-BOUNDARY-TRIAD,ADDON-GAP-BOUNDARY,True,pass,3,3,5,5,TickleBoard\artifacts\20260521_143237_AO-GAP-BOUNDARY-TRIAD
AO-DEFERRED-CONFIG-WRITES,ADDON-DEFERRED-CONFIG,True,pass,2,2,3,3,TickleBoard\artifacts\20260521_143305_AO-DEFERRED-CONFIG-WRITES
AO-FACTORY-RESET-AND-COERCION,ADDON-FACTORY-RESET,True,pass,2,2,3,3,TickleBoard\artifacts\20260521_143328_AO-FACTORY-RESET-AND-COERCION
